match,name,win
11,aanzu.,1
11,acme_,0
12,aanzu.,1
12,acme_,0
13,aanzu.,1
13,acme_,0
15,Demon1_,1
15,aanzu.,0
16,rrreav,1
16,Chatouille,0
17,acme_,1
17,ExitNextRight,0
19,aanzu.,1
19,Demon1_,0
20,acme_,1
20,ExitNextRight,0
21,rrreav,1
21,Chatouille,0
22,rrreav,1
22,Chatouille,0
23,rrreav,1
23,Chatouille,0
24,pOwNx,1
24,Chatouille,0
25,ExitNextRight,1
25,Demon1_,0
26,Chatouille,1
26,pOwNx,0
27,Demon1_,1
27,ExitNextRight,0
28,aanzu.,1
28,xelfer,0
29,Demon1_,1
29,ExitNextRight,0
30,xelfer,1
30,aanzu.,0
31,Chatouille,1
31,Zashimka,0
32,aanzu.,1
32,ExitNextRight,0
33,Chatouille,1
33,pOwNx,0
34,xelfer,1
34,Demon1_,0
35,aanzu.,1
35,ExitNextRight,0
36,xelfer,1
36,Demon1_,0
37,childspley,1
37,rÌffågë,0
38,aanzu.,1
38,Chatouille,0
39,acme_,1
39,ExitNextRight,0
40,kxboops,1
40,pOwNx,0
41,rÌffågë,1
41,childspley,0
42,acme_,1
42,ExitNextRight,0
43,aanzu.,1
43,Chatouille,0
44,pOwNx,1
44,kxboops,0
45,rÌffågë,1
45,childspley,0
46,pOwNx,1
46,kxboops,0
47,Demon1_,1
47,rÌffågë,0
48,kxboops,1
48,childspley,0
49,aanzu.,1
49,pOwNx,0
50,Demon1_,1
50,rÌffågë,0
51,kxboops,1
51,childspley,0
52,aanzu.,1
52,pOwNx,0
53,Demon1_,1
53,acme_,0
54,ExitNextRight,1
54,rÌffågë,0
55,kxboops,1
55,Chatouille,0
56,Demon1_,1
56,acme_,0
57,ExitNextRight,1
57,rÌffågë,0
58,Chatouille,1
58,kxboops,0
59,kxboops,1
59,Chatouille,0
60,acme_,1
60,kxboops,0
61,ExitNextRight,1
61,pOwNx,0
62,acme_,1
62,kxboops,0
63,ExitNextRight,1
63,pOwNx,0
64,aanzu.,1
64,Demon1_,0
65,aanzu.,1
65,Demon1_,0
66,ExitNextRight,1
66,acme_,0
67,ExitNextRight,1
67,acme_,0
68,Demon1_,1
68,ExitNextRight,0
