match,name,win
79,acme_,1
79,HYEGUYS,1
79,pb.,1
79,ExitNextRight,1
79,x_WaR_xX,1
79,johnnydang,0
79,sLipZ-,0
79,aanzu.,0
79,KylieJenner,0
79,Demon1_,0
105,emc.clark.kent,1
105,acme_,1
105,pb.,1
105,x_WaR_xX,1
105,Maddeh,1
105,Rars,0
105,bdy,0
105,Demon1_,0
105,SkullZzz-,0
105,K.r.y.p.T,0
106,therealfusion,1
106,cafe,1
106,HYEGUYS,1
106,Demon1_,1
106,bdy,1
106,xios,0
106,phantaśi,0
106,acme_,0
106,pb.,0
106,fallacy._,0
107,pb.,1
107,phantaśi,1
107,acme_,1
107,fallacy._,1
107,xios,1
107,cafe,0
107,Demon1_,0
107,HYEGUYS,0
107,bdy,0
107,therealfusion,0
108,bdy,1
108,Demon1_,1
108,phantaśi,1
108,kxboops,1
108,xios,1
108,therealfusion,0
108,K.r.y.p.T,0
108,cafe,0
108,KylieJenner,0
108,acme_,0
109,K.r.y.p.T,1
109,KylieJenner,1
109,acme_,1
109,cafe,1
109,therealfusion,1
109,phantaśi,0
109,Demon1_,0
109,bdy,0
109,kxboops,0
109,xios,0
111,phantaśi,1
111,emc.clark.kent,1
111,linoleum,1
111,childspley,1
111,x_WaR_xX,1
111,Rars,0
111,constablle,0
111,ExitNextRight,0
111,bdy,0
111,Bizygha,0
112,x_WaR_xX,1
112,childspley,1
112,emc.clark.kent,1
112,linoleum,1
112,phantaśi,1
112,bdy,0
112,constablle,0
112,Rars,0
112,Bizygha,0
112,ExitNextRight,0
113,bdy,1
113,Geetee,1
113,ExitNextRight,1
113,therealfusion,1
113,Bizygha,1
113,childspley,0
113,constablle,0
113,phantaśi,0
113,Dr.EggMcMuffin,0
113,x_WaR_xX,0
124,Rars,1
124,Demon1_,1
124,x_WaR_xX,1
124,blackmane-,1
124,Dr.EggMcMuffin,1
124,eP_,0
124,ExitNextRight,0
124,K.r.y.p.T,0
124,constablle,0
124,emc.clark.kent,0
128,constablle,1
128,eP_,1
128,K.r.y.p.T,1
128,emc.clark.kent,1
128,ExitNextRight,1
128,Rars,0
128,x_WaR_xX,0
128,blackmane-,0
128,Demon1_,0
128,Dr.EggMcMuffin,0
130,cafe,1
130,Ðarth,1
130,K.r.y.p.T,1
130,Kngkyle,1
130,blackmane-,1
130,bdy,0
130,eP_,0
130,sLipZ-,0
130,xios,0
130,Dr.EggMcMuffin,0
131,sLipZ-,1
131,eP_,1
131,Dr.EggMcMuffin,1
131,xios,1
131,bdy,1
131,cafe,0
131,Kngkyle,0
131,blackmane-,0
131,Ðarth,0
131,K.r.y.p.T,0
148,mighty,1
148,Demon1_,1
148,Dr.EggMcMuffin,1
148,ExitNextRight,1
148,emc.clark.kent,1
148,blackmane-,0
148,Vicarious_,0
148,raynn,0
148,sekomaniac,0
148,Avalanche._,0
150,ExitNextRight,1
150,bdy,1
150,Demon1_,1
150,K.r.y.p.T,1
150,therealfusion,1
150,KylieJenner,0
150,blackmane-,0
150,fallacy._,0
150,xios,0
150,ben_afps,0
151,xios,1
151,ben_afps,1
151,KylieJenner,1
151,blackmane-,1
151,fallacy._,1
151,therealfusion,0
151,bdy,0
151,Demon1_,0
151,ExitNextRight,0
151,K.r.y.p.T,0
152,Demon1_,1
152,ExitNextRight,1
152,K.r.y.p.T,1
152,bdy,1
152,therealfusion,1
152,fallacy._,0
152,xios,0
152,KylieJenner,0
152,ben_afps,0
152,blackmane-,0
216,Demon1_,1
216,K.r.y.p.T,1
216,emc.clark.kent,1
216,Kngkyle,1
216,blackmane-,1
216,ExitNextRight,0
216,Dr.EggMcMuffin,0
216,Vicarious_,0
216,BNG_Hitman,0
216,acme_,0
228,constablle,1
228,K.r.y.p.T,1
228,xios,1
228,ExitNextRight,1
228,Kngkyle,1
228,x_WaR_xX,0
228,pb.,0
228,blackmane-,0
